
Contains_Link,Unknown_Sender,Spelling_Errors,Urgent_Language,Is_Spam
Yes,Yes,Low,Yes,Yes
Yes,Yes,High,Yes,Yes
No,Yes,High,Yes,No
Yes,Yes,High,Yes,Yes
No,Yes,Low,No,No
Yes,Yes,Low,No,Yes
No,Yes,High,No,No
Yes,Yes,Low,Yes,Yes
No,No,Low,Yes,No
No,Yes,Low,Yes,No
No,Yes,Low,No,No
Yes,No,Low,No,No
Yes,No,High,No,No
No,Yes,High,Yes,No
Yes,No,Low,Yes,No
Yes,Yes,High,Yes,Yes
No,No,High,No,No
No,Yes,High,No,No
No,No,High,Yes,No
Yes,No,High,Yes,No
Yes,Yes,High,No,Yes
Yes,No,High,No,No
No,Yes,Low,Yes,No
Yes,No,High,No,No
Yes,Yes,High,No,Yes
Yes,Yes,Low,Yes,Yes
Yes,No,Low,Yes,No
Yes,No,Low,Yes,No
Yes,No,High,Yes,No
Yes,Yes,Low,No,Yes
No,No,Low,Yes,No
Yes,Yes,Low,No,Yes
Yes,Yes,Low,No,Yes
Yes,No,Low,No,No
Yes,Yes,Low,No,Yes
Yes,No,Low,No,No
Yes,Yes,High,Yes,Yes
No,Yes,Low,Yes,No
No,No,Low,No,No
No,Yes,High,No,No
No,No,Low,No,No
Yes,Yes,High,No,Yes
No,Yes,High,No,No
No,Yes,Low,No,No
No,No,High,Yes,No
No,Yes,Low,No,No
Yes,No,High,No,No
No,Yes,High,No,No
No,No,Low,No,No
Yes,Yes,High,No,Yes
No,Yes,High,No,No
No,No,High,Yes,No
Yes,No,High,No,No
No,Yes,High,Yes,No
Yes,No,High,No,No
Yes,Yes,Low,No,Yes
No,Yes,High,No,No
No,No,Low,No,No
No,Yes,High,Yes,No
No,No,Low,Yes,No
No,No,High,No,No
Yes,No,High,No,No
Yes,No,Low,No,No
Yes,No,Low,No,No
Yes,Yes,High,No,Yes
Yes,No,High,No,No
No,No,Low,Yes,No
No,Yes,Low,Yes,No
Yes,No,High,No,No
Yes,Yes,High,Yes,Yes
Yes,Yes,High,Yes,Yes
No,Yes,Low,Yes,No
No,No,Low,No,No
No,No,Low,Yes,No
No,Yes,High,No,No
No,No,High,No,No
No,Yes,Low,Yes,No
No,Yes,High,No,No
Yes,No,Low,Yes,No
No,No,High,No,No
No,Yes,Low,Yes,No
Yes,Yes,High,Yes,Yes
Yes,No,High,Yes,No
No,No,Low,Yes,No
No,No,Low,Yes,No
Yes,No,High,No,No
Yes,No,Low,No,No
No,No,High,Yes,No
Yes,No,High,No,No
No,Yes,Low,No,No
No,Yes,Low,No,No
No,No,Low,Yes,No
No,No,High,No,No
Yes,No,Low,Yes,No
Yes,No,High,No,No
No,No,High,No,No
Yes,Yes,High,No,Yes
Yes,Yes,High,No,Yes
Yes,No,High,No,No
Yes,No,Low,No,No
